Q or theta , Calculated , Experiment
   1.00050100000000       ,    25.1892936578451       ,    35.7000000000000     
   1.01318200000000       ,    26.5608240857243       ,    35.1500000000000     
   1.02586200000000       ,    27.6347894648776       ,    35.1200000000000     
   1.03854200000000       ,    28.7246495798290       ,    35.3700000000000     
   1.05122300000000       ,    29.8313190644318       ,    35.7500000000000     
   1.06390300000000       ,    30.9555581480122       ,    36.0000000000000     
   1.07658400000000       ,    32.0986056052474       ,    36.4300000000000     
   1.08926400000000       ,    33.2614887641234       ,    36.8300000000000     
   1.10194500000000       ,    34.4457672266300       ,    37.1200000000000     
   1.11462500000000       ,    35.6528248537616       ,    37.1800000000000     
   1.12730600000000       ,    36.8846549062940       ,    38.1400000000000     
   1.13998600000000       ,    38.1431131909455       ,    38.4500000000000     
   1.15266600000000       ,    39.4306735281133       ,    39.6500000000000     
   1.16534700000000       ,    40.7501771160047       ,    40.7300000000000     
   1.17802800000000       ,    42.1046844047011       ,    41.4500000000000     
   1.19070800000000       ,    43.4977360628196       ,    42.2300000000000     
   1.20338900000000       ,    44.9337697712464       ,    43.2900000000000     
   1.21606900000000       ,    46.4174325292806       ,    44.7500000000000     
   1.22875000000000       ,    47.9545885461028       ,    46.8000000000000     
   1.24143000000000       ,    49.5515465069568       ,    48.4400000000000     
   1.25411100000000       ,    51.2162332884784       ,    50.6300000000000     
   1.26679200000000       ,    52.9576508669190       ,    53.0900000000000     
   1.27947200000000       ,    54.7866298722780       ,    56.0000000000000     
   1.29215300000000       ,    56.7170280885292       ,    59.1600000000000     
   1.30483400000000       ,    58.7661822547322       ,    63.0000000000000     
   1.31751400000000       ,    60.9582190876362       ,    67.6100000000000     
   1.33019500000000       ,    63.3317352462528       ,    74.7400000000000     
   1.34287600000000       ,    65.9564326941116       ,    81.9500000000000     
   1.35555700000000       ,    68.9760869019027       ,    90.7500000000000     
   1.36823700000000       ,    72.7031179443179       ,    101.310000000000     
   1.38091800000000       ,    78.5054232274433       ,    120.960000000000     
   1.39359900000000       ,    86.4373183089648       ,    142.540000000000     
   1.40628000000000       ,    100.007297793025       ,    170.740000000000     
   1.41896100000000       ,    124.450362304901       ,    205.880000000000     
   1.43164100000000       ,    168.746299068695       ,    275.280000000000     
   1.44432200000000       ,    247.056415562904       ,    365.330000000000     
   1.45700300000000       ,    379.613220422861       ,    485.320000000000     
   1.46968400000000       ,    592.172409058438       ,    636.400000000000     
   1.48236500000000       ,    912.883698346772       ,    931.520000000000     
   1.49504600000000       ,    1365.87739149186       ,    1402.24000000000     
   1.50772700000000       ,    1961.93861084521       ,    1920.01000000000     
   1.52040800000000       ,    2688.28434677587       ,    2572.85000000000     
   1.53308900000000       ,    3500.97316813376       ,    3413.95000000000     
   1.54577000000000       ,    4323.88125744664       ,    4469.66000000000     
   1.55845100000000       ,    5056.84259640518       ,    5344.86000000000     
   1.57113200000000       ,    5593.06428774339       ,    5926.81000000000     
   1.58381300000000       ,    5843.64828722296       ,    6127.49000000000     
   1.59649400000000       ,    5763.73183934760       ,    6052.28000000000     
   1.60917500000000       ,    5368.35558065243       ,    5601.20000000000     
   1.62185600000000       ,    4726.99395098363       ,    4906.65000000000     
   1.63453700000000       ,    3940.94595558881       ,    4098.89000000000     
   1.64721900000000       ,    3117.03860075044       ,    3034.39000000000     
   1.65990000000000       ,    2346.65786653116       ,    2237.36000000000     
   1.67258100000000       ,    1692.65045639085       ,    1613.73000000000     
   1.68526200000000       ,    1186.48516090420       ,    1218.28000000000     
   1.69794300000000       ,    833.191732378192       ,    917.530000000000     
   1.71062500000000       ,    620.684827431374       ,    724.800000000000     
   1.72330600000000       ,    529.471200257852       ,    641.810000000000     
   1.73598700000000       ,    539.123904068095       ,    637.900000000000     
   1.74866900000000       ,    630.874683024613       ,    685.540000000000     
   1.76135000000000       ,    786.541782342499       ,    820.930000000000     
   1.77403100000000       ,    985.864718414332       ,    966.050000000000     
   1.78671300000000       ,    1204.22339532290       ,    1162.17000000000     
   1.79939400000000       ,    1412.38609908281       ,    1329.26000000000     
   1.81207600000000       ,    1579.22529760981       ,    1519.84000000000     
   1.82475700000000       ,    1676.78827645042       ,    1620.56000000000     
   1.83743900000000       ,    1687.18117556727       ,    1616.77000000000     
   1.85012000000000       ,    1608.18127950296       ,    1538.85000000000     
   1.86280200000000       ,    1453.86386192364       ,    1351.30000000000     
   1.87548300000000       ,    1249.55267272272       ,    1141.90000000000     
   1.88816500000000       ,    1024.40334053683       ,    923.120000000000     
   1.90084600000000       ,    805.061910694424       ,    723.970000000000     
   1.91352800000000       ,    611.161763309974       ,    527.980000000000     
   1.92621000000000       ,    453.591958292222       ,    383.430000000000     
   1.93889100000000       ,    334.972954527433       ,    284.600000000000     
   1.95157300000000       ,    251.821916455748       ,    227.900000000000     
   1.96425500000000       ,    197.376092113231       ,    185.090000000000     
   1.97693600000000       ,    164.000804218514       ,    153.420000000000     
   1.98961800000000       ,    144.827512041266       ,    136.320000000000     
   2.00230000000000       ,    134.526019689489       ,    124.910000000000     
   2.01498200000000       ,    129.398866105621       ,    116.960000000000     
   2.02766400000000       ,    127.112850461477       ,    109.910000000000     
   2.04034600000000       ,    126.314082866162       ,    104.670000000000     
   2.05302700000000       ,    126.273401701293       ,    100.630000000000     
   2.06570900000000       ,    126.623117885134       ,    97.7800000000000     
   2.07839100000000       ,    127.187585435576       ,    95.2900000000000     
   2.09107300000000       ,    127.885804347796       ,    93.4900000000000     
   2.10375500000000       ,    128.680503935124       ,    92.2600000000000     
