r(A) ,   X_ray-calc  ,   X_ray_exp_renorm
   2.31000000000000       ,   -1.72904700835471       ,   -1.87011517949948     
   2.32000000000000       ,   -1.79177782472561       ,   -1.84158907931861     
   2.33000000000000       ,   -1.80110930564856       ,   -1.76450443377470     
   2.34000000000000       ,   -1.74569444524707       ,   -1.62980883842168     
   2.35000000000000       ,   -1.61660872076372       ,   -1.43032072792170     
   2.36000000000000       ,   -1.40798441150318       ,   -1.16132011590864     
   2.37000000000000       ,   -1.11750381929948       ,  -0.821035240313786     
   2.38000000000000       ,  -0.746718212614399       ,  -0.410990252166825     
   2.39000000000000       ,  -0.301168445079361       ,   6.381388720614388E-002
   2.40000000000000       ,   0.209706021964048       ,   0.594904138184875     
   2.41000000000000       ,   0.772871145894961       ,    1.17053412201015     
   2.42000000000000       ,    1.37220466079249       ,    1.77607393650709     
   2.43000000000000       ,    1.98918224555881       ,    2.39457664142180     
   2.44000000000000       ,    2.60371025235952       ,    3.00749606894576     
   2.45000000000000       ,    3.19506274804471       ,    3.59552090441190     
   2.46000000000000       ,    3.74287391529598       ,    4.13948212369510     
   2.47000000000000       ,    4.22813287646378       ,    4.62128538949079     
   2.48000000000000       ,    4.63412701397256       ,    5.02481728240052     
   2.49000000000000       ,    4.94728196300014       ,    5.33677449444306     
   2.50000000000000       ,    5.15785155707868       ,    5.54736838162484     
   2.51000000000000       ,    5.26041884711301       ,    5.65086341257598     
   2.52000000000000       ,    5.25417945517906       ,    5.64591673736032     
   2.53000000000000       ,    5.14299039182489       ,    5.53569684922596     
   2.54000000000000       ,    4.93518037811547       ,    5.32777150494384     
   2.55000000000000       ,    4.64313092379629       ,    5.03376799400706     
   2.56000000000000       ,    4.28265015180072       ,    4.66882173900091     
   2.57000000000000       ,    3.87217288299785       ,    4.25084129961854     
   2.58000000000000       ,    3.43183012967150       ,    3.79962841439178     
   2.59000000000000       ,    2.98243832865253       ,    3.33590010827930     
   2.60000000000000       ,    2.54446295715292       ,    2.88026560952046     
   2.61000000000000       ,    2.13701236825864       ,    2.45221350412121     
   2.62000000000000       ,    1.77691569593921       ,    2.06916404152503     
   2.63000000000000       ,    1.47793363722638       ,    1.74563781397938     
   2.64000000000000       ,    1.25014312851551       ,    1.49258538031968     
   2.65000000000000       ,    1.09952686207757       ,    1.31691318677036     
   2.66000000000000       ,    1.02778683903427       ,    1.22122990205552     
   2.67000000000000       ,    1.03238842345852       ,    1.20382470170202     
   2.68000000000000       ,    1.10682839957680       ,    1.25887585660072     
   2.69000000000000       ,    1.24110809875857       ,    1.37687498678677     
   2.70000000000000       ,    1.42238147556651       ,    1.54524030139046     
   2.71000000000000       ,    1.63573871189536       ,    1.74908176636499     
   2.72000000000000       ,    1.86507903532837       ,    1.97207302463328     
   2.73000000000000       ,    2.09402232306538       ,    2.19737949927322     
   2.74000000000000       ,    2.30680792663909       ,    2.40858973138271     
   2.75000000000000       ,    2.48913101516503       ,    2.59059774733061     
   2.76000000000000       ,    2.62887143659414       ,    2.73038803212120     
   2.77000000000000       ,    2.71667731037595       ,    2.81768124030042     
   2.78000000000000       ,    2.74637481878116       ,    2.84540767201423     
   2.79000000000000       ,    2.71518637106246       ,    2.80998621175724     
   2.80000000000000       ,    2.62375081083511       ,    2.71139820337453     
   2.81000000000000       ,    2.47595092343829       ,    2.55305789191046     
   2.82000000000000       ,    2.27856448551301       ,    2.34149286397219     
   2.83000000000000       ,    2.04076484267402       ,    2.08585866030940     
   2.84000000000000       ,    1.77350495053858       ,    1.79732079113923     
   2.85000000000000       ,    1.48882453781162       ,    1.48834424472900     
   2.86000000000000       ,    1.19912326081114       ,    1.17193487567042     
   2.87000000000000       ,   0.916443289539336       ,   0.860878588669048     
   2.88000000000000       ,   0.651802733029001       ,   0.567022968480938     
   2.89000000000000       ,   0.414616871294937       ,   0.300642091688138     
   2.90000000000000       ,   0.212237650446618       ,   6.991899664656641E-002
   2.91000000000000       ,   4.963377231997027E-002  ,  -0.119427872370595     
   2.92000000000000       ,  -7.077548656006058E-002  ,  -0.264357441144954     
   2.93000000000000       ,  -0.149129265569505       ,  -0.364551434823538     
   2.94000000000000       ,  -0.187983002939544       ,  -0.422296209998968     
   2.95000000000000       ,  -0.192030126769057       ,  -0.442214493163423     
   2.96000000000000       ,  -0.167710071796568       ,  -0.430869134039004     
   2.97000000000000       ,  -0.122731083449767       ,  -0.396267938731558     
   2.98000000000000       ,  -6.554024592464364E-002  ,  -0.347303574053096     
   2.99000000000000       ,  -4.775000563564265E-003  ,  -0.293165188026597     
   3.00000000000000       ,   5.126993187798597E-002  ,  -0.242758680635337     
   3.01000000000000       ,   9.512874401087162E-002  ,  -0.204170544087191     
   3.02000000000000       ,   0.120576650458246       ,  -0.184206078640511     
   3.03000000000000       ,   0.122946504494502       ,  -0.188026911194189     
   3.04000000000000       ,   9.933539137311852E-002  ,  -0.218905534522324     
   3.05000000000000       ,   4.869415049488578E-002  ,  -0.278106551597155     
   3.06000000000000       ,  -2.819963101741766E-002  ,  -0.364895994525089     
   3.07000000000000       ,  -0.128877401737825       ,  -0.476672033707591     
   3.08000000000000       ,  -0.249410072443195       ,  -0.609203106849613     
   3.09000000000000       ,  -0.384713770923536       ,  -0.756953418602497     
   3.10000000000000       ,  -0.528907912757439       ,  -0.913471234727079     
   3.11000000000000       ,  -0.675700535206909       ,   -1.07181265028708     
   3.12000000000000       ,  -0.818775515794494       ,   -1.22497265434420     
   3.13000000000000       ,  -0.952157628711055       ,   -1.36629632009957     
   3.14000000000000       ,   -1.07053421561236       ,   -1.48984567280063     
   3.15000000000000       ,   -1.16951630458800       ,   -1.59070197253640     
   3.16000000000000       ,   -1.24582697221100       ,   -1.66518845182691     
   3.17000000000000       ,   -1.29741023172288       ,   -1.71100456345144     
   3.18000000000000       ,   -1.32345934910000       ,   -1.72726908490799     
   3.19000000000000       ,   -1.32436884971977       ,   -1.71447555372241     
   3.20000000000000       ,   -1.30161922793374       ,   -1.67436906293063     
   3.21000000000000       ,   -1.25760721413196       ,   -1.60975807497992     
   3.22000000000000       ,   -1.19543716908567       ,   -1.52427834023837     
   3.23000000000000       ,   -1.11869063242484       ,   -1.42212805352018     
   3.24000000000000       ,   -1.03119121463586       ,   -1.30779397310871     
   3.25000000000000       ,  -0.936780947321645       ,   -1.18578739229496     
   3.26000000000000       ,  -0.839122038319261       ,   -1.06040672426396     
   3.27000000000000       ,  -0.741534933232088       ,  -0.935540255564752     
   3.28000000000000       ,  -0.646879934387932       ,  -0.814518628617834     
   3.29000000000000       ,  -0.557485676793549       ,  -0.700022162939537     
