Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
033211.817       61893      150969  0.892E-02  0.457E-02  0.784E-02
034211.678       62543      152522  0.892E-02  0.456E-02  0.783E-02
035211.891       63158      154095  0.892E-02  0.456E-02  0.782E-02
040211.915       63778      155664  0.892E-02  0.455E-02  0.781E-02
041211.862       64404      157239  0.892E-02  0.454E-02  0.780E-02
042211.768       65050      158814  0.892E-02  0.453E-02  0.779E-02
043211.755       65686      160372  0.892E-02  0.452E-02  0.778E-02
044211.668       66330      161919  0.892E-02  0.452E-02  0.777E-02
045211.854       66950      163465  0.892E-02  0.451E-02  0.776E-02
050211.764       67573      165021  0.891E-02  0.450E-02  0.775E-02
051211.892       68207      166582  0.891E-02  0.450E-02  0.774E-02
052211.567       68821      168144  0.891E-02  0.449E-02  0.773E-02
053211.657       69454      169710  0.891E-02  0.448E-02  0.771E-02
054211.526       70078      171263  0.891E-02  0.447E-02  0.771E-02
055212.068       70707      172824  0.891E-02  0.447E-02  0.770E-02
060211.580       71323      174366  0.891E-02  0.446E-02  0.769E-02
061211.624       71873      175902  0.890E-02  0.445E-02  0.768E-02
062211.699       72517      177451  0.890E-02  0.444E-02  0.767E-02
063211.888       73124      179010  0.890E-02  0.444E-02  0.766E-02
064211.699       73720      180524  0.890E-02  0.443E-02  0.764E-02
065211.575       74305      181992  0.890E-02  0.443E-02  0.764E-02
070211.874       74874      183459  0.889E-02  0.442E-02  0.763E-02
071211.828       75406      184900  0.889E-02  0.441E-02  0.762E-02
072211.781       75994      186383  0.889E-02  0.441E-02  0.761E-02
073211.585       76535      187835  0.889E-02  0.440E-02  0.761E-02
074211.609       77144      189378  0.889E-02  0.439E-02  0.760E-02
075211.742       77755      190950  0.889E-02  0.438E-02  0.760E-02
080211.761       78370      192516  0.889E-02  0.437E-02  0.759E-02
081211.881       78982      194072  0.889E-02  0.437E-02  0.758E-02
082211.601       79594      195631  0.889E-02  0.436E-02  0.758E-02
083211.833       80223      197181  0.888E-02  0.435E-02  0.757E-02
084211.779       80836      198748  0.888E-02  0.434E-02  0.756E-02
085211.551       81456      200322  0.888E-02  0.434E-02  0.755E-02
090211.701       82099      201856  0.888E-02  0.433E-02  0.754E-02
091211.651       82721      203418  0.888E-02  0.432E-02  0.753E-02
092211.683       83340      204965  0.888E-02  0.431E-02  0.752E-02
093211.844       83976      206520  0.888E-02  0.431E-02  0.751E-02
094211.635       84573      208065  0.887E-02  0.430E-02  0.750E-02
095211.591       85212      209632  0.887E-02  0.429E-02  0.749E-02
100211.733       85846      211181  0.887E-02  0.429E-02  0.748E-02
101211.873       86457      212723  0.887E-02  0.428E-02  0.748E-02
102212.055       87055      214262  0.887E-02  0.427E-02  0.746E-02
103211.714       87684      215825  0.887E-02  0.426E-02  0.746E-02
104211.795       88280      217394  0.887E-02  0.426E-02  0.745E-02
105211.626       88900      218939  0.887E-02  0.425E-02  0.744E-02
110211.760       89526      220503  0.887E-02  0.424E-02  0.743E-02
111211.985       90150      222067  0.887E-02  0.424E-02  0.742E-02
112211.823       90777      223616  0.886E-02  0.423E-02  0.741E-02
113211.650       91416      225166  0.886E-02  0.422E-02  0.740E-02
114211.626       92039      226710  0.886E-02  0.422E-02  0.739E-02
115211.934       92655      228262  0.886E-02  0.421E-02  0.738E-02
120211.847       93246      229821  0.886E-02  0.421E-02  0.736E-02
121211.702       93849      231335  0.886E-02  0.420E-02  0.736E-02
122211.974       94422      232785  0.886E-02  0.419E-02  0.735E-02
123212.042       95025      234256  0.886E-02  0.419E-02  0.734E-02
124211.795       95615      235763  0.885E-02  0.418E-02  0.734E-02
125211.846       96212      237239  0.885E-02  0.417E-02  0.733E-02
130211.629       96824      238717  0.885E-02  0.417E-02  0.732E-02
131211.816       97377      240178  0.885E-02  0.416E-02  0.732E-02
132211.661       97949      241668  0.885E-02  0.415E-02  0.731E-02
133211.887       98544      243222  0.885E-02  0.415E-02  0.730E-02
134211.593       99153      244754  0.885E-02  0.414E-02  0.729E-02
135211.808       99699      246131  0.885E-02  0.414E-02  0.728E-02
140211.698      100259      247587  0.885E-02  0.413E-02  0.727E-02
141211.596      100872      249153  0.884E-02  0.412E-02  0.726E-02
142211.883      101443      250678  0.884E-02  0.412E-02  0.725E-02
143211.864      102048      252263  0.884E-02  0.411E-02  0.725E-02
144211.775      102658      253822  0.884E-02  0.410E-02  0.724E-02
145211.801      103227      255363  0.884E-02  0.410E-02  0.724E-02
150211.895      103853      256934  0.884E-02  0.409E-02  0.723E-02
151211.816      104487      258469  0.884E-02  0.408E-02  0.722E-02
152211.902      105121      260022  0.884E-02  0.407E-02  0.722E-02
153211.776      105712      261593  0.884E-02  0.407E-02  0.721E-02
154211.669      106283      263118  0.884E-02  0.406E-02  0.720E-02
155211.663      106899      264713  0.883E-02  0.405E-02  0.719E-02
160211.798      107446      266252  0.883E-02  0.405E-02  0.719E-02
161211.617      108083      267809  0.883E-02  0.404E-02  0.718E-02
162211.692      108704      269303  0.883E-02  0.403E-02  0.717E-02
163211.757      109303      270881  0.883E-02  0.403E-02  0.716E-02
164211.807      109932      272468  0.883E-02  0.402E-02  0.715E-02
165211.893      110535      273961  0.883E-02  0.401E-02  0.715E-02
170211.766      111140      275468  0.883E-02  0.401E-02  0.714E-02
171211.636      111721      277004  0.883E-02  0.400E-02  0.713E-02
172211.562      112345      278600  0.882E-02  0.400E-02  0.712E-02
173211.614      112948      280176  0.882E-02  0.399E-02  0.711E-02
174211.802      113562      281749  0.882E-02  0.398E-02  0.711E-02
175211.758      114147      283236  0.882E-02  0.398E-02  0.710E-02
180211.655      114732      284792  0.882E-02  0.397E-02  0.709E-02
181211.845      115335      286326  0.882E-02  0.396E-02  0.709E-02
182211.756      115922      287820  0.882E-02  0.395E-02  0.709E-02
183211.743      116519      289358  0.882E-02  0.395E-02  0.708E-02
184211.794      117118      290950  0.882E-02  0.394E-02  0.708E-02
185211.743      117703      292531  0.882E-02  0.393E-02  0.707E-02
190211.812      118301      294067  0.881E-02  0.393E-02  0.706E-02
191211.820      118927      295620  0.881E-02  0.392E-02  0.705E-02
192211.951      119511      297148  0.881E-02  0.392E-02  0.705E-02
193211.819      120115      298693  0.881E-02  0.391E-02  0.704E-02
194211.584      120717      300251  0.881E-02  0.390E-02  0.703E-02
195211.601      121343      301842  0.881E-02  0.390E-02  0.702E-02
200211.658      121959      303406  0.881E-02  0.389E-02  0.701E-02
201211.782      122544      304994  0.881E-02  0.388E-02  0.700E-02
202211.601      123171      306535  0.881E-02  0.388E-02  0.700E-02
203211.684      123790      308063  0.881E-02  0.387E-02  0.699E-02
204211.742      124419      309620  0.881E-02  0.386E-02  0.699E-02
205211.703      124993      311164  0.881E-02  0.385E-02  0.698E-02
210211.843      125601      312745  0.881E-02  0.385E-02  0.697E-02
