       Q,      F(Q)_RMC,  F(Q)_Expt
      1.6800000 ,      -0.6632993 ,      -0.6755717
      1.6900000 ,      -0.6292881 ,      -0.6422473
      1.7000000 ,      -0.6136900 ,      -0.6295656
      1.7100000 ,      -0.6176176 ,      -0.6375912
      1.7200000 ,      -0.6398501 ,      -0.6636220
      1.7300000 ,      -0.6771247 ,      -0.7029223
      1.7400000 ,      -0.7246953 ,      -0.7496951
      1.7500000 ,      -0.7770582 ,      -0.7980762
      1.7600000 ,      -0.8287327 ,      -0.8429714
      1.7700000 ,      -0.8749951 ,      -0.8806277
      1.7800000 ,      -0.9124719 ,      -0.9089098
      1.7900000 ,      -0.9395218 ,      -0.9273151
      1.8000000 ,      -0.9563502 ,      -0.9367928
      1.8100000 ,      -0.9648269 ,      -0.9394305
      1.8200000 ,      -0.9680039 ,      -0.9380459
      1.8300000 ,      -0.9693702 ,      -0.9356943
      1.8400000 ,      -0.9719261 ,      -0.9350849
      1.8500000 ,      -0.9772095 ,      -0.9379172
      1.8600000 ,      -0.9844470 ,      -0.9441904
      1.8700000 ,      -0.9900213 ,      -0.9515997
      1.8800000 ,      -0.9874312 ,      -0.9551857
      1.8900000 ,      -0.9678591 ,      -0.9474211
      1.9000000 ,      -0.9213622 ,      -0.9188817
      1.9100000 ,      -0.8385741 ,      -0.8595474
      1.9200000 ,      -0.7126729 ,      -0.7606322
      1.9300000 ,      -0.5412666 ,      -0.6166760
      1.9400000 ,      -0.3278018 ,      -0.4274925
      1.9500000 ,      -0.0821328 ,      -0.1995063
      1.9600000 ,       0.1799916 ,       0.0539474
      1.9700000 ,       0.4385762 ,       0.3136243
      1.9800000 ,       0.6719826 ,       0.5566856
      1.9900000 ,       0.8600909 ,       0.7600355
      2.0000000 ,       0.9874561 ,       0.9041155
      2.0100000 ,       1.0458434 ,       0.9764092
      2.0200000 ,       1.0355966 ,       0.9738868
      2.0300000 ,       0.9654947 ,       0.9037713
      2.0400000 ,       0.8510436 ,       0.7823258
      2.0500000 ,       0.7114811 ,       0.6317808
      2.0600000 ,       0.5660646 ,       0.4759525
      2.0700000 ,       0.4304008 ,       0.3354428
      2.0800000 ,       0.3136044 ,       0.2234719
      2.0900000 ,       0.2169289 ,       0.1433146
      2.1000000 ,       0.1342087 ,       0.0880031
      2.1100000 ,       0.0540567 ,       0.0424622
      2.1200000 ,      -0.0366482 ,      -0.0123212
      2.1300000 ,      -0.1487735 ,      -0.0940024
      2.1400000 ,      -0.2873902 ,      -0.2136918
      2.1500000 ,      -0.4495689 ,      -0.3721610
      2.1600000 ,      -0.6241325 ,      -0.5584665
      2.1700000 ,      -0.7935518 ,      -0.7514981
      2.1800000 ,      -0.9376593 ,      -0.9242705
      2.1900000 ,      -1.0383875 ,      -1.0500953
      2.2000000 ,      -1.0844325 ,      -1.1092432
      2.2100000 ,      -1.0746662 ,      -1.0944769
      2.2200000 ,      -1.0193300 ,      -1.0139818
      2.2300000 ,      -0.9384900 ,      -0.8907317
      2.2400000 ,      -0.8578413 ,      -0.7581020
      2.2500000 ,      -0.8025905 ,      -0.6524289
      2.2600000 ,      -0.7906614 ,      -0.6039931
      2.2700000 ,      -0.8267484 ,      -0.6284067
      2.2800000 ,      -0.8986924 ,      -0.7204605
      2.2900000 ,      -0.9772677 ,      -0.8520970
      2.3000000 ,      -1.0198133 ,      -0.9753827
      2.3100000 ,      -0.9773351 ,      -1.0303080
      2.3200000 ,      -0.8039319 ,      -0.9561653
      2.3300000 ,      -0.4668083 ,      -0.7043911
      2.3400000 ,       0.0451108 ,      -0.2502971
      2.3500000 ,       0.7158050 ,       0.3988119
      2.3600000 ,       1.5013206 ,       1.2010292
      2.3700000 ,       2.3339393 ,       2.0836065
      2.3800000 ,       3.1308622 ,       2.9526933
      2.3900000 ,       3.8060230 ,       3.7074469
      2.4000000 ,       4.2830001 ,       4.2559967
      2.4100000 ,       4.5067449 ,       4.5303205
      2.4200000 ,       4.4520324 ,       4.4972682
      2.4300000 ,       4.1271410 ,       4.1636956
      2.4400000 ,       3.5721602 ,       3.5748125
      2.4500000 ,       2.8523236 ,       2.8061616
      2.4600000 ,       2.0476693 ,       1.9508556
      2.4700000 ,       1.2409615 ,       1.1045569
      2.4800000 ,       0.5060450 ,       0.3510286
      2.4900000 ,      -0.1013939 ,      -0.2491618
      2.5000000 ,      -0.5492520 ,      -0.6649492
      2.5100000 ,      -0.8300310 ,      -0.8953443
      2.5200000 ,      -0.9577437 ,      -0.9647049
      2.5300000 ,      -0.9617542 ,      -0.9141611
      2.5400000 ,      -0.8790920 ,      -0.7912983
      2.5500000 ,      -0.7469115 ,      -0.6403656
      2.5600000 ,      -0.5965416 ,      -0.4949421
      2.5700000 ,      -0.4500588 ,      -0.3742644
      2.5800000 ,      -0.3196485 ,      -0.2834870
      2.5900000 ,      -0.2093675 ,      -0.2172295
      2.6000000 ,      -0.1184145 ,      -0.1650702
      2.6100000 ,      -0.0447759 ,      -0.1173255
      2.6200000 ,       0.0118325 ,      -0.0695520
      2.6300000 ,       0.0484941 ,      -0.0246753
      2.6400000 ,       0.0593758 ,       0.0076384
      2.6500000 ,       0.0375370 ,       0.0140037
      2.6600000 ,      -0.0223919 ,      -0.0182611
      2.6700000 ,      -0.1215385 ,      -0.0966307
      2.6800000 ,      -0.2549894 ,      -0.2200942
      2.6900000 ,      -0.4114733 ,      -0.3780487
      2.7000000 ,      -0.5747349 ,      -0.5517266
      2.7100000 ,      -0.7263443 ,      -0.7178450
      2.7200000 ,      -0.8493012 ,      -0.8535914
      2.7300000 ,      -0.9315659 ,      -0.9417113
      2.7400000 ,      -0.9686421 ,      -0.9744347
      2.7500000 ,      -0.9645530 ,      -0.9552604
      2.7600000 ,      -0.9309241 ,      -0.8981394
      2.7700000 ,      -0.8843365 ,      -0.8242259
      2.7800000 ,      -0.8425180 ,      -0.7569438
      2.7900000 ,      -0.8202131 ,      -0.7165072
      2.8000000 ,      -0.8256459 ,      -0.7151460
      2.8100000 ,      -0.8583545 ,      -0.7541085
      2.8200000 ,      -0.9088677 ,      -0.8230857
      2.8300000 ,      -0.9602884 ,      -0.9021454
      2.8400000 ,      -0.9914447 ,      -0.9657068
      2.8500000 ,      -0.9809539 ,      -0.9876633
      2.8600000 ,      -0.9113865 ,      -0.9465598
      2.8700000 ,      -0.7727379 ,      -0.8297868
      2.8800000 ,      -0.5646013 ,      -0.6360316
      2.8900000 ,      -0.2967237 ,      -0.3756490
      2.9000000 ,       0.0120477 ,      -0.0690651
      2.9100000 ,       0.3361396 ,       0.2563008
      2.9200000 ,       0.6464734 ,       0.5698932
      2.9300000 ,       0.9139965 ,       0.8419312
      2.9400000 ,       1.1130368 ,       1.0467842
      2.9500000 ,       1.2241217 ,       1.1654748
      2.9600000 ,       1.2360541 ,       1.1872272
      2.9700000 ,       1.1471674 ,       1.1101828
