  0.8000000,   -12.9322644,     0.1768269,    -0.1399960,    -3.2091047,     0.0491942,    -1.6012912
  0.8100000,   -13.6386247,     0.5930801,    -0.1699094,    -3.4033614,     0.0208437,    -1.5205819
  0.8200000,   -14.1827415,     0.8699413,    -0.1539010,    -3.5553281,    -0.0104152,    -1.4660276
  0.8300000,   -14.4068012,     0.9240077,    -0.0960585,    -3.6182146,    -0.0362235,    -1.4510644
  0.8400000,   -14.2287288,     0.7267062,    -0.0115360,    -3.5663057,    -0.0496353,    -1.4788976
  0.8500000,   -13.6696623,     0.3157211,     0.0773802,    -3.4039778,    -0.0469505,    -1.5418153
  0.8600000,   -12.8565943,    -0.2101440,     0.1470881,    -3.1673440,    -0.0287104,    -1.6232775
  0.8700000,   -11.9970181,    -0.7127825,     0.1788637,    -2.9172558,     0.0004120,    -1.7022219
  0.8800000,   -11.3288219,    -1.0493686,     0.1638249,    -2.7244341,     0.0328088,    -1.7584705
  0.8900000,   -11.0548237,    -1.1124546,     0.1053690,    -2.6495360,     0.0599154,    -1.7778572
  0.9000000,   -11.2758425,    -0.8664724,     0.0184289,    -2.7225040,     0.0744554,    -1.7557779
  0.9100000,   -11.9379517,    -0.3716607,    -0.0742877,    -2.9261919,     0.0723615,    -1.6982759
  0.9200000,   -12.8079846,     0.2113850,    -0.1481353,    -3.1887962,     0.0538587,    -1.6204084
  0.9300000,   -13.4865774,     0.6395140,    -0.1829558,    -3.3880734,     0.0234141,    -1.5423289
  0.9400000,   -13.4608542,     0.6254531,    -0.1684370,    -3.3679630,    -0.0114464,    -1.4840977
  0.9500000,   -12.1906322,    -0.1094220,    -0.1070009,    -2.9655446,    -0.0421493,    -1.4605497
  0.9600000,    -9.2144106,    -1.7777059,    -0.0134289,    -2.0438012,    -0.0613828,    -1.4775254
  0.9700000,    -4.2560131,    -4.4752373,     0.0887433,    -0.5240060,    -0.0650822,    -1.5304202
  0.9800000,     2.6891675,    -8.1475275,     0.1732023,     1.5889126,    -0.0535453,    -1.6054130
  0.9900000,    11.3072401,   -12.5808839,     0.2177206,     4.1937663,    -0.0313590,    -1.6830525
