       Q,      F(Q)_RMC,  F(Q)_Expt
      1.9800000 ,       1.1182588 ,       1.0716610
      1.9900000 ,       1.4658745 ,       1.4353160
      2.0000000 ,       1.7063349 ,       1.6926869
      2.0100000 ,       1.8072966 ,       1.8077648
      2.0200000 ,       1.7528276 ,       1.7619032
      2.0300000 ,       1.5468076 ,       1.5578150
      2.0400000 ,       1.2129975 ,       1.2198971
      2.0500000 ,       0.7916022 ,       0.7906428
      2.0600000 ,       0.3328582 ,       0.3236930
      2.0700000 ,      -0.1112024 ,      -0.1252090
      2.0800000 ,      -0.4952522 ,      -0.5076286
      2.0900000 ,      -0.7877851 ,      -0.7903612
      2.1000000 ,      -0.9754587 ,      -0.9602867
      2.1100000 ,      -1.0638345 ,      -1.0251980
      2.1200000 ,      -1.0744346 ,      -1.0104795
      2.1300000 ,      -1.0388104 ,      -0.9523985
      2.1400000 ,      -0.9909520 ,      -0.8894918
      2.1500000 ,      -0.9597131 ,      -0.8539442
      2.1600000 ,      -0.9629037 ,      -0.8648464
      2.1700000 ,      -1.0043115 ,      -0.9247938
      2.1800000 ,      -1.0742340 ,      -1.0205243
      2.1900000 ,      -1.1532920 ,      -1.1273695
      2.2000000 ,      -1.2185255 ,      -1.2164063
      2.2100000 ,      -1.2502368 ,      -1.2625573
      2.2200000 ,      -1.2378527 ,      -1.2516466
      2.2300000 ,      -1.1832981 ,      -1.1846340
      2.2400000 ,      -1.1009462 ,      -1.0778916
      2.2500000 ,      -1.0140258 ,      -0.9593069
      2.2600000 ,      -0.9482261 ,      -0.8609976
      2.2700000 ,      -0.9239630 ,      -0.8102699
      2.2800000 ,      -0.9491625 ,      -0.8209510
      2.2900000 ,      -1.0144063 ,      -0.8872462
      2.3000000 ,      -1.0918314 ,      -0.9818000
      2.3100000 ,      -1.1383921 ,      -1.0587639
      2.3200000 ,      -1.1031371 ,      -1.0615786
      2.3300000 ,      -0.9372294 ,      -0.9341103
      2.3400000 ,      -0.6047614 ,      -0.6329619
      2.3500000 ,      -0.0921389 ,      -0.1384189
      2.3600000 ,       0.5860052 ,       0.5383445
      2.3700000 ,       1.3857742 ,       1.3534889
      2.3800000 ,       2.2383204 ,       2.2347971
      2.3900000 ,       3.0589185 ,       3.0914511
      2.4000000 ,       3.7592627 ,       3.8276115
      2.4100000 ,       4.2608027 ,       4.3573394
      2.4200000 ,       4.5067221 ,       4.6181235
      2.4300000 ,       4.4704313 ,       4.5805476
      2.4400000 ,       4.1591298 ,       4.2524031
      2.4500000 ,       3.6119448 ,       3.6766364
      2.4600000 ,       2.8931744 ,       2.9237094
      2.4700000 ,       2.0820383 ,       2.0799767
      2.4800000 ,       1.2609081 ,       1.2343575
      2.4900000 ,       0.5041314 ,       0.4657620
      2.5000000 ,      -0.1307071 ,      -0.1665799
      2.5100000 ,      -0.6078643 ,      -0.6284682
      2.5200000 ,      -0.9144447 ,      -0.9113005
      2.5300000 ,      -1.0577392 ,      -1.0283793
      2.5400000 ,      -1.0599627 ,      -1.0082655
      2.5500000 ,      -0.9518184 ,      -0.8869277
      2.5600000 ,      -0.7663408 ,      -0.7004559
      2.5700000 ,      -0.5341739 ,      -0.4797444
      2.5800000 ,      -0.2809210 ,      -0.2478981
      2.5900000 ,      -0.0266065 ,      -0.0203713
      2.6000000 ,       0.2132442 ,       0.1928287
      2.6100000 ,       0.4257413 ,       0.3839807
      2.6200000 ,       0.5989050 ,       0.5447568
      2.6300000 ,       0.7208275 ,       0.6646134
      2.6400000 ,       0.7801048 ,       0.7310163
      2.6500000 ,       0.7674703 ,       0.7314605
      2.6600000 ,       0.6781435 ,       0.6566894
      2.6700000 ,       0.5141447 ,       0.5041436
      2.6800000 ,       0.2857709 ,       0.2805568
      2.6900000 ,       0.0116040 ,       0.0028058
      2.7000000 ,      -0.2832236 ,      -0.3034561
      2.7100000 ,      -0.5703438 ,      -0.6072926
      2.7200000 ,      -0.8224668 ,      -0.8774696
      2.7300000 ,      -1.0178322 ,      -1.0878952
      2.7400000 ,      -1.1438481 ,      -1.2223243
      2.7500000 ,      -1.1991123 ,      -1.2772639
      2.7600000 ,      -1.1933377 ,      -1.2623964
      2.7700000 ,      -1.1451491 ,      -1.1983790
      2.7800000 ,      -1.0781702 ,      -1.1124484
      2.7900000 ,      -1.0161803 ,      -1.0327364
      2.8000000 ,      -0.9783050 ,      -0.9824675
      2.8100000 ,      -0.9751868 ,      -0.9752173
      2.8200000 ,      -1.0068573 ,      -1.0121627
      2.8300000 ,      -1.0626766 ,      -1.0818191
      2.8400000 ,      -1.1232865 ,      -1.1622399
      2.8500000 ,      -1.1641453 ,      -1.2251646
      2.8600000 ,      -1.1599448 ,      -1.2412593
