Time       moves_acc moves_gen     F(Q)_1  Curvature  Curvature  Curvature  Curvature  Curvature  Curvature   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
235819.947        1211        1242  0.233E-02  0.000E+00  0.000E+00  0.139E+02  0.000E+00  0.123E+01  0.000E+00  0.357E-03
000819.906        2135        2606  0.233E-02  0.000E+00  0.000E+00  0.127E+02  0.000E+00  0.880E+00  0.000E+00  0.362E-03
001819.565        2544        3896  0.233E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.591E+00  0.000E+00  0.353E-03
002819.699        2943        5299  0.233E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.542E+00  0.000E+00  0.345E-03
003819.738        3283        6607  0.233E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.515E+00  0.000E+00  0.339E-03
004819.703        3651        7930  0.232E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.515E+00  0.000E+00  0.335E-03
005819.568        4026        9250  0.232E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.513E+00  0.000E+00  0.330E-03
010819.791        4372       10599  0.232E-02  0.000E+00  0.000E+00  0.121E+02  0.000E+00  0.509E+00  0.000E+00  0.326E-03
011819.861        4709       11907  0.232E-02  0.000E+00  0.000E+00  0.125E+02  0.000E+00  0.509E+00  0.000E+00  0.323E-03
012819.652        5031       13236  0.232E-02  0.000E+00  0.000E+00  0.121E+02  0.000E+00  0.480E+00  0.000E+00  0.320E-03
013819.863        5334       14531  0.232E-02  0.000E+00  0.000E+00  0.124E+02  0.000E+00  0.476E+00  0.000E+00  0.317E-03
014820.011        5638       15863  0.232E-02  0.000E+00  0.000E+00  0.121E+02  0.000E+00  0.502E+00  0.000E+00  0.315E-03
015820.052        5927       17170  0.232E-02  0.000E+00  0.000E+00  0.122E+02  0.000E+00  0.477E+00  0.000E+00  0.313E-03
020819.503        6211       18439  0.232E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.478E+00  0.000E+00  0.311E-03
021819.736        6496       19765  0.232E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.477E+00  0.000E+00  0.310E-03
022819.750        6772       21072  0.232E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.465E+00  0.000E+00  0.308E-03
023819.751        7020       22331  0.232E-02  0.000E+00  0.000E+00  0.121E+02  0.000E+00  0.465E+00  0.000E+00  0.307E-03
024819.697        7282       23626  0.232E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.465E+00  0.000E+00  0.305E-03
025819.827        7570       24961  0.231E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.468E+00  0.000E+00  0.304E-03
030819.832        7840       26282  0.231E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.465E+00  0.000E+00  0.302E-03
031819.795        8088       27558  0.231E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.477E+00  0.000E+00  0.301E-03
032819.779        8345       28871  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.499E+00  0.000E+00  0.300E-03
033819.735        8631       30171  0.231E-02  0.000E+00  0.000E+00  0.126E+02  0.000E+00  0.464E+00  0.000E+00  0.299E-03
034819.961        8859       31484  0.231E-02  0.000E+00  0.000E+00  0.120E+02  0.000E+00  0.455E+00  0.000E+00  0.298E-03
035819.839        9115       32747  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.469E+00  0.000E+00  0.297E-03
040819.563        9355       34060  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.450E+00  0.000E+00  0.296E-03
041819.634        9594       35363  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.488E+00  0.000E+00  0.295E-03
042819.692        9858       36714  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.490E+00  0.000E+00  0.295E-03
043819.571       10098       38084  0.231E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.483E+00  0.000E+00  0.294E-03
044819.550       10340       39392  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.476E+00  0.000E+00  0.293E-03
045819.559       10585       40704  0.231E-02  0.000E+00  0.000E+00  0.123E+02  0.000E+00  0.523E+00  0.000E+00  0.292E-03
050819.794       10839       41924  0.231E-02  0.000E+00  0.000E+00  0.118E+02  0.000E+00  0.541E+00  0.000E+00  0.291E-03
051819.661       11071       43237  0.231E-02  0.000E+00  0.000E+00  0.119E+02  0.000E+00  0.501E+00  0.000E+00  0.291E-03
052819.708       11297       44550  0.231E-02  0.000E+00  0.000E+00  0.118E+02  0.000E+00  0.489E+00  0.000E+00  0.290E-03
053819.921       11524       45873  0.231E-02  0.000E+00  0.000E+00  0.116E+02  0.000E+00  0.505E+00  0.000E+00  0.289E-03
054819.506       11759       47308  0.231E-02  0.000E+00  0.000E+00  0.117E+02  0.000E+00  0.504E+00  0.000E+00  0.289E-03
055819.601       11987       48652  0.231E-02  0.000E+00  0.000E+00  0.115E+02  0.000E+00  0.502E+00  0.000E+00  0.288E-03
060820.098       12189       49917  0.231E-02  0.000E+00  0.000E+00  0.114E+02  0.000E+00  0.492E+00  0.000E+00  0.287E-03
061820.046       12411       51174  0.230E-02  0.000E+00  0.000E+00  0.114E+02  0.000E+00  0.494E+00  0.000E+00  0.287E-03
062819.799       12614       52475  0.230E-02  0.000E+00  0.000E+00  0.121E+02  0.000E+00  0.487E+00  0.000E+00  0.286E-03
063819.551       12855       53807  0.230E-02  0.000E+00  0.000E+00  0.113E+02  0.000E+00  0.454E+00  0.000E+00  0.286E-03
064819.932       13069       55109  0.230E-02  0.000E+00  0.000E+00  0.116E+02  0.000E+00  0.454E+00  0.000E+00  0.285E-03
065819.765       13320       56421  0.230E-02  0.000E+00  0.000E+00  0.116E+02  0.000E+00  0.442E+00  0.000E+00  0.284E-03
070819.603       13551       57672  0.230E-02  0.000E+00  0.000E+00  0.114E+02  0.000E+00  0.442E+00  0.000E+00  0.284E-03
071819.606       13751       58958  0.230E-02  0.000E+00  0.000E+00  0.115E+02  0.000E+00  0.442E+00  0.000E+00  0.283E-03
072819.630       13992       60304  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.440E+00  0.000E+00  0.283E-03
073819.528       14200       61633  0.230E-02  0.000E+00  0.000E+00  0.111E+02  0.000E+00  0.420E+00  0.000E+00  0.282E-03
074819.564       14432       63003  0.230E-02  0.000E+00  0.000E+00  0.115E+02  0.000E+00  0.419E+00  0.000E+00  0.281E-03
075819.637       14646       64319  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.428E+00  0.000E+00  0.281E-03
080819.872       14851       65598  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.420E+00  0.000E+00  0.281E-03
081819.527       15088       66922  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.419E+00  0.000E+00  0.280E-03
082819.775       15303       68223  0.230E-02  0.000E+00  0.000E+00  0.111E+02  0.000E+00  0.459E+00  0.000E+00  0.279E-03
083819.830       15524       69578  0.230E-02  0.000E+00  0.000E+00  0.111E+02  0.000E+00  0.445E+00  0.000E+00  0.279E-03
084819.913       15733       70918  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.467E+00  0.000E+00  0.278E-03
085819.586       15937       72290  0.230E-02  0.000E+00  0.000E+00  0.112E+02  0.000E+00  0.462E+00  0.000E+00  0.278E-03
