r(A) ,   X_ray-calc  ,   X_ray_exp_renorm
   2.34000000000000       ,   -1.50361079900804       ,   -1.38588371562507     
   2.35000000000000       ,   -1.28180764826045       ,   -1.18224555861233     
   2.36000000000000       ,  -0.988852907197614       ,  -0.909710684556695     
   2.37000000000000       ,  -0.624685823797892       ,  -0.566137187152393     
   2.38000000000000       ,  -0.192381441729940       ,  -0.152813778536319     
   2.39000000000000       ,   0.301801672133304       ,   0.325411067044403     
   2.40000000000000       ,   0.848534106111033       ,   0.860192138915427     
   2.41000000000000       ,    1.43568864378610       ,    1.43994326348510     
   2.42000000000000       ,    2.04876485404048       ,    2.05027550836738     
   2.43000000000000       ,    2.67144792469240       ,    2.67459710687649     
   2.44000000000000       ,    3.28627670193647       ,    3.29484510337955     
   2.45000000000000       ,    3.87538938475451       ,    3.89231107248657     
   2.46000000000000       ,    4.42131042146428       ,    4.44851770273395     
   2.47000000000000       ,    4.90773917070714       ,    4.94609988127135     
   2.48000000000000       ,    5.32030002181098       ,    5.36964335391163     
   2.49000000000000       ,    5.64721500110515       ,    5.70643609894107     
   2.50000000000000       ,    5.87986337776687       ,    5.94709212618381     
   2.51000000000000       ,    6.01319825743793       ,    6.08601423377468     
   2.52000000000000       ,    6.04599733080541       ,    6.12167093428380     
   2.53000000000000       ,    5.98093344390982       ,    6.05667280430834     
   2.54000000000000       ,    5.82446001450510       ,    5.89764434629526     
   2.55000000000000       ,    5.58651601899866       ,    5.65489846439603     
   2.56000000000000       ,    5.28006477878168       ,    5.34193122687364     
   2.57000000000000       ,    4.92048955240990       ,    4.97476412430947     
   2.58000000000000       ,    4.52487649905480       ,    4.57116900695619     
   2.59000000000000       ,    4.11122149417530       ,    4.14981686052654     
   2.60000000000000       ,    3.69760121789066       ,    3.72939523948773     
   2.61000000000000       ,    3.30135067916969       ,    3.32774033739138     
   2.62000000000000       ,    2.93828878847902       ,    2.96102829592641     
   2.63000000000000       ,    2.62203078213877       ,    2.64306654424883     
   2.64000000000000       ,    2.36342139594814       ,    2.38471996107401     
   2.65000000000000       ,    2.17011596526807       ,    2.19349882914559     
   2.66000000000000       ,    2.04632847776668       ,    2.07332636941333     
   2.67000000000000       ,    1.99275648754900       ,    2.02449363618436     
   2.68000000000000       ,    2.00668323236951       ,    2.04379929965234     
   2.69000000000000       ,    2.08224781872032       ,    2.12486191917594     
   2.70000000000000       ,    2.21086548371152       ,    2.25858327207169     
   2.71000000000000       ,    2.38177219920560       ,    2.43373364155532     
   2.72000000000000       ,    2.58266167618405       ,    2.63762408968167     
   2.73000000000000       ,    2.80037848735131       ,    2.85682694328713     
   2.74000000000000       ,    3.02162877445229       ,    3.07790417495074     
   2.75000000000000       ,    3.23366994207654       ,    3.28810410627005     
   2.76000000000000       ,    3.42494283306300       ,    3.47598980424228     
   2.77000000000000       ,    3.58561397900209       ,    3.63196746555304     
   2.78000000000000       ,    3.70800135581616       ,    3.74868966076342     
   2.79000000000000       ,    3.78686428504143       ,    3.82131612495319     
   2.80000000000000       ,    3.81954626782884       ,    3.84762335507434     
   2.81000000000000       ,    3.80596813468080       ,    3.82796309560241     
   2.82000000000000       ,    3.74847743494466       ,    3.76507834893154     
   2.83000000000000       ,    3.65156798307303       ,    3.66379334879110     
   2.84000000000000       ,    3.52149047119686       ,    3.53060055275341     
   2.85000000000000       ,    3.36578066397936       ,    3.37317279228533     
   2.86000000000000       ,    3.19273561500911       ,    3.19983201297236     
   2.87000000000000       ,    3.01087039202194       ,    3.01900740193365     
   2.88000000000000       ,    2.82838789349840       ,    2.83871510949857     
   2.89000000000000       ,    2.65269252144388       ,    2.66608931908523     
   2.90000000000000       ,    2.48997489706739       ,    2.50699030161875     
   2.91000000000000       ,    2.34488972196653       ,    2.36570960058390     
   2.92000000000000       ,    2.22034263618149       ,    2.24478599623563     
   2.93000000000000       ,    2.11739490752603       ,    2.14493880775022     
   2.94000000000000       ,    2.03528744249714       ,    2.06511784914659     
   2.95000000000000       ,    1.97157838624020       ,    2.00266239449304     
   2.96000000000000       ,    1.92238190844645       ,    1.95355523692889     
   2.97000000000000       ,    1.88269004131392       ,    1.91275269820296     
   2.98000000000000       ,    1.84675496643271       ,    1.87456754181156     
   2.99000000000000       ,    1.80850617704219       ,    1.83307935663956     
   3.00000000000000       ,    1.76197561097843       ,    1.78254620534955     
   3.01000000000000       ,    1.70170419475787       ,    1.71779216834351     
   3.02000000000000       ,    1.62310519415081       ,    1.63454775829051     
   3.03000000000000       ,    1.52276316775507       ,    1.52972384180536     
   3.04000000000000       ,    1.39865191918580       ,    1.40160441923435     
   3.05000000000000       ,    1.25026032476572       ,    1.24994905978454     
   3.06000000000000       ,    1.07862091489687       ,    1.07600161154805     
   3.07000000000000       ,   0.886242223706817       ,   0.882407636279685     
   3.08000000000000       ,   0.676951809906071       ,   0.673048499864252     
   3.09000000000000       ,   0.455662134475494       ,   0.452804856572359     
   3.10000000000000       ,   0.228075847572815       ,   0.227266125442306     
   3.11000000000000       ,   3.502432845707778E-004  ,   2.405264517952507E-003
   3.12000000000000       ,  -0.221257478682198       ,  -0.215760424770450     
   3.13000000000000       ,  -0.430742027999457       ,  -0.421501629445372     
   3.14000000000000       ,  -0.622677711898086       ,  -0.609682843706847     
   3.15000000000000       ,  -0.792502995586665       ,  -0.776024376635984     
   3.16000000000000       ,  -0.936746247097474       ,  -0.917306581813896     
   3.17000000000000       ,   -1.05318115799744       ,   -1.03150640903593     
   3.18000000000000       ,   -1.14090508436929       ,   -1.11786090062511     
   3.19000000000000       ,   -1.20033855877561       ,   -1.17685693158885     
   3.20000000000000       ,   -1.23314915655160       ,   -1.21015102369771     
   3.21000000000000       ,   -1.24210744632997       ,   -1.22042716763531     
   3.22000000000000       ,   -1.23088663721996       ,   -1.21120402064917     
   3.23000000000000       ,   -1.20382052712432       ,   -1.18660541696908     
   3.24000000000000       ,   -1.16563629677092       ,   -1.15110970421169     
   3.25000000000000       ,   -1.12117949435484       ,   -1.10929393937744     
   3.26000000000000       ,   -1.07514820589844       ,   -1.06558845185849     
   3.27000000000000       ,   -1.03185197226646       ,   -1.02405578506098     
   3.28000000000000       ,  -0.995008630597368       ,  -0.988205700614672     
   3.29000000000000       ,  -0.967589119898761       ,  -0.960854957507415     
   3.30000000000000       ,  -0.951716636132869       ,  -0.944037186755529     
   3.31000000000000       ,  -0.948622616835640       ,  -0.938964614518917     
   3.32000000000000       ,  -0.958658153248115       ,  -0.946039890344029     
   3.33000000000000       ,  -0.981355832956972       ,  -0.964913086596488     
   3.34000000000000       ,   -1.01553394413067       ,  -0.994576255541366     
