Time       moves_acc moves_gen     F(Q)_1  Curvature  Curvature  Curvature  Curvature  Curvature  Curvature   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
120638.381        1739        1800  0.217E-02  0.000E+00  0.000E+00  0.111E+02  0.000E+00  0.142E+01  0.000E+00  0.188E-03
121638.499        2306        3701  0.217E-02  0.000E+00  0.000E+00  0.996E+01  0.000E+00  0.115E+01  0.000E+00  0.186E-03
122638.262        2612        5583  0.217E-02  0.000E+00  0.000E+00  0.975E+01  0.000E+00  0.838E+00  0.000E+00  0.185E-03
123638.268        2866        7478  0.217E-02  0.000E+00  0.000E+00  0.975E+01  0.000E+00  0.710E+00  0.000E+00  0.185E-03
124638.533        3086        9371  0.217E-02  0.000E+00  0.000E+00  0.948E+01  0.000E+00  0.699E+00  0.000E+00  0.185E-03
125638.305        3305       11264  0.216E-02  0.000E+00  0.000E+00  0.962E+01  0.000E+00  0.650E+00  0.000E+00  0.185E-03
130638.466        3547       13152  0.216E-02  0.000E+00  0.000E+00  0.101E+02  0.000E+00  0.530E+00  0.000E+00  0.185E-03
131638.535        3765       15049  0.216E-02  0.000E+00  0.000E+00  0.991E+01  0.000E+00  0.518E+00  0.000E+00  0.184E-03
132638.545        3997       16945  0.216E-02  0.000E+00  0.000E+00  0.973E+01  0.000E+00  0.519E+00  0.000E+00  0.184E-03
133638.451        4223       18844  0.216E-02  0.000E+00  0.000E+00  0.964E+01  0.000E+00  0.516E+00  0.000E+00  0.184E-03
134638.332        4454       20737  0.216E-02  0.000E+00  0.000E+00  0.981E+01  0.000E+00  0.516E+00  0.000E+00  0.184E-03
135638.317        4675       22636  0.216E-02  0.000E+00  0.000E+00  0.978E+01  0.000E+00  0.516E+00  0.000E+00  0.184E-03
140638.485        4890       24534  0.216E-02  0.000E+00  0.000E+00  0.972E+01  0.000E+00  0.516E+00  0.000E+00  0.183E-03
141638.520        5089       26420  0.216E-02  0.000E+00  0.000E+00  0.982E+01  0.000E+00  0.516E+00  0.000E+00  0.183E-03
142638.332        5307       28256  0.216E-02  0.000E+00  0.000E+00  0.102E+02  0.000E+00  0.516E+00  0.000E+00  0.183E-03
